id,isbn,title_short,title,catalogue,cutter,pub_year,copy_info,get_link,note,reprint,removed,keepsite,eisbn
160,9789865973391,手工書設計,手工書 設計&製作,999,8363,2012,,,,,,,
161,9789863425588,一支筆就能,一支筆就能寫! 手寫英文藝術字 (附黑白雙色練習帖),943.98,8629,2016,,,,,,,
162,9789575279073,DTP桌上,DTP桌上排版活用技術修煉　(平裝),477.22029,2621,2006,,,,,,,
163,9789863700289,節能建築設,節能建築設備教科書：集合住宅、辦公建築篇,441.6,2634,2015,,,,,,,
164,9789576500992,大亨小傳,大亨小傳,874.57,7544,1993,,fail,,,,,
165,9789575451462,希臘神話,希臘神話,813.08,8436,1992,,,,,,,
166,9789570830811,鐵母雞遊世,鐵母雞遊世界(平裝),992.026,8446,2006,,,,,,,
167,9789571365091,身為職業小,身為職業小說家,861.67,8354,2016,,,,,,,
168,9789571360782,沒有女人的,沒有女人的男人們,861.57,8357,2014,,,,,,,
169,9789862351192,鐵人三項,鐵人三項－游泳、自行車、跑步三項全能運動入門(平裝),528.9474,2862,2010,,,,,,,
170,9789862351796,在水裡自由,在水裡自由練功 ：掌握游泳招式、心法，精進技術，突破速度！,528.961,2862,2012,,,,,,,
171,9789572313756,柏德之門,柏德之門,874.57,7464,2002,,fail,,,,,
172,9789863191469,獵魔士3,獵魔士長篇３：火之洗禮,882.157,8537,2015,v.3,,,,,,
173,9789863191230,獵魔士2,獵魔士長篇２：蔑視時代,882.157,8537,2015,v.2,,,,,,
174,9789863191940,獵魔士4,獵魔士長篇４：燕之塔,882.157,8537,2016,v.4,,,,,,
175,9789863191124,獵魔士1,獵魔士長篇１：精靈血,882.157,8537,2014,v.1,,,,,,
176,9789866157752,獵魔士：命,獵魔士：命運之劍,882.157,8537,2012,,,,,,,
177,9789866157493,獵魔士：最,獵魔士：最後的願望,882.157,8537,2011,,,,,,,
178,9789571407432,新譯古文觀,新譯古文觀止(上/下)(革新版)(修訂三版),835,439,1999,,fail,,,,,
179,9789866558238,Help!119,Help!Help!急救119,415.22,4054,2009,,,,,,,
180,9789578782099,孫子兵法釋,孫子兵法釋義,592.092,2537,1993,,fail,,,,,
181,9789575867867,語言學導論,語言學導論(平裝),800,1105,1999,,,,,,,
182,9789861734606,我不當陀螺,我不當陀螺族！—「永遠嫌時間不夠用」的現代人全方位時間管理術(平裝),494.01,4424,2009,,,,,,,
183,9789864761388,機器學習Py,機器學習：使用Python進行預測分析的基本技術,312.32P97,2742,2016,,,,,,,
184,9789862018439,雲端整理術,Evernote雲端整理術：提升記事效率的137個實用筆記,312.136,8645,2013,,fail,,,delete,,
185,9789869340571,搞定GTD,搞定！：工作效率大師教你：事情再多照樣做好的搞定5步驟,494.01,4428,2016,,,,,,,
186,9789571368542,你說，寮國,你說，寮國到底有什麼？,861.67,4254,2017,,,,,,,
187,9789571371894,刺殺騎士團,刺殺騎士團長 第二部 隱喻遷移篇(平裝),861.57,8354,2017,,,,,,,
188,9789575451615,動物農莊,動物農莊,873.57,7751,1977,,,,,,,
189,9789864761678,TLI v1,The Linux Programming Interface 國際中文版（上冊）,312.54,2714,2016,v.1,fail,,,,,
190,9789866151705,書櫃偏執狂,書櫃偏執狂的木工聖經：0.1mm決不退讓！跟著日本宅男大叔的手作魂打造完美書櫃！,474.3,8559,2014,,fail,,,,,
191,9789864762514,Debugging,Debugging 中文版：軟體與系統除錯的 66 個具體作法,312.923,5322,2016,,fail,,,,,
192,9789869307055,現代樂理1,現代樂理（一）超簡單學習法（第七版）,911.1,4407,2017,,fail,,,,,
193,9789862019689,Eclipse,Eclipse完全攻略：從基礎Java到PDF外掛開發（第三版）,312.92,3521,2014,,fail,,,,,
194,9789864341030,MC新魔法,Minecraft的新魔法： 打破虛擬沙盒世界的界限,312.8,8767,2016,,fail,,,,,
195,9789864342365,資料結構Py,圖解資料結構：使用Python,312.73,8866,2017,,,,,,,
196,9789862017883,無瑕番外篇,無瑕的程式碼（番外篇）專業程式設計師的生存之道,312.2,7131,2013,,fail,,,,,
197,9789862767191,易讀程式之,易讀程式之美學：提升程式碼可讀性的簡單法則,312.2,2451,2013,,fail,,,,,
198,9789864763269,資料視覺化,資料視覺化：使用Python與JavaScript,312.74,8765,2017,,fail,,,,,
199,9789864761982,資料科學Py,Data Science from Scratch中文版：用Python學資料科學,312.32P97,4724,2016,,fail,,,,,
200,9789866076992,Make：15,Make：國際中文版15,400,8024,2015,v.15,,,,,,
201,9789862283356,別笑德語,別笑！我是德語學習書（附MP3 CD）,805.28,8088,2013,,,,,,,
202,9789866703638,標準日本語3,大家學標準日本語（高級本）,803.18,8656,2012,v.3,,,,,,
203,9789866703621,標準日本語2,大家學標準日本語（中級本）,803.18,8656,2012,v.2,,,,,,
204,9789864761333,精通 Go,精通 Go 程式設計,312.32G6,8622,2016,,,,,,,
205,9789864761753,網站擷取Py,網站擷取：使用Python,312.32P97,8733,2016,,,,,,,
206,9789862766699,Git2e,版本控制使用Git（第二版）,312.92,8544,2013,,fail,,,,,
207,9789864762729,Python自動,Python自動化的樂趣： 搞定重複瑣碎&單調無聊的工作,312.32P97,4224,2016,,fail,,,,,
208,9789863123439,圖解IOT,超圖解物聯網IoT實作入門：使用JavaScript、Node.JS、Arduino、Raspberry Pi、ESP8266、Espruino,312.952,8489,2016,,,,,,,
209,9789863700180,素人木作！,素人木作！超easy的木作收納百科,474.3,8773,2015,c.1,,,,,,
210,9789861793405,一輩子旅行,活用一輩子的旅行筆記術,019.2,2633,2014,,,,,,,
211,9789869124010,高效手帳筆,圖解．一寫就成真！神奇高效手帳筆記術：4色手寫＋40種記事提案，第一本真正教你如何寫手帳的工具書,019.2,2750,2014,,,,,,,
212,9789862019542,告別瀑布Scr,告別瀑布，擁抱Scrum：解析微軟與Adobe如何在30天內開發出新軟體,312.92,5014,2014,,,,,,,
213,9789863795230,全能Android,全能Android絕對正確培養聖經,312.52,3138,2017,,fail,,,,,
214,9789861794648,一輩子筆記2,活用一輩子的讀書筆記術【完全攻略版】,019.2,2633,2016,,,,,,,
215,9789578279063,大家的日本,大家的日本語 初級Ⅰ,803.18,1721,2006,,,,,,,
216,9789868774193,完美牛排烹,完美牛排烹飪全書─12道全世界都在享用的經典牛排食譜,427.212,1037,2012,,,,,,,
217,9789869015257,就是愛烤肉,就是愛烤肉：詹姆士烤肉訣竅全公開,427.1,8445,2014,,,,,,,
218,9789866033759,咖啡入門教,咖啡入門教科書,427.42,8559,2013,,,,,,,
219,9789866703607,標準日本語1,大家學標準日本語（初級本）,803.18,8656,2012,v.1,,,,,,
220,9789571371870,刺殺騎士團1,刺殺騎士團長 第一部 意念顯現篇(平裝),861.57,4254,2017,,,,,,,
221,9789865680367,省錢修繕DIY,省錢修繕DIY全書,422.9,2225,2014,,,,,,,
222,9789863477310,IntroPython,精通 Python：運用簡單的套件進行現代運算,312.32P97,2702,2015,,,,,,,
223,9789861792286,一輩子筆記1,活用一輩子的筆記術,019.2,2633,2011,,,,,,,
224,9789576866067,一次搞定QA,一次搞定！木工Q&A,474.3022,8654,2009,,,,,,,
225,9789866185601,大師木工秘,大師不傳的木工秘訣(平裝),474.3,8434,2011,,,,,,,
226,9789571352503,1Q84B3,1Q84(Book3),861.479,8354,2009,v.3,,,,,,
227,9789867139283,圓滿家庭木,圓滿家庭木作計畫,474.3,863,2010,,,,,delete,,
228,9789867637420,一坪家庭菜,一坪家庭菜園(平裝),435.2,7456,2009,,,,,delete,,
229,9789572239346,Android3,Google！Android 3手機應用程式設計入門 第四版 (平裝),448.845029,8537,2011,,,,,,,
230,9780321680563,PPython3,Programming in Python 3,QA76.73.P98,S85,2010,,fail,,,delete,,
231,9789571342474,黑夜之後,黑夜之後,861.57,4254,2005,,,,,,,
232,9789867415912,我，機器人,我，機器人,874.57,1040,2006,,,,,,,
233,9789862766064,互動Arduino,最簡單的互動設計Arduino一試就上手（第二版）,471.516,1279,2012,,fail,,,,,
234,9789862762639,8051C語言,8051單晶片/C語言設計實務（第二版）,312.32C,8655,2011,,fail,,,,,
235,9789866482588,數位攝影的,數位攝影的第一堂課(附CD),950,8746,2009,,,,,delete,,
236,9789866555633,居家修繕自,居家修繕自己來完全圖解,422.9,2225,2010,,,,,delete,,
237,9789571313405,世界末日與,世界末日與冷酷異境,861.57,4425,1994,,,,,,,
238,9789571351032,1Q84B1,1Q84(Book1),861.57,4254,2009,v.1,fail,,,,,
239,9780321699879,PPython3,Programming in Python 3,312.32P97,7899,2017,,,,,delete,,
240,9789862013571,Matz14思考,松本行弘的程式世界 ─ 成為一流程式設計師的14種思考術(平裝),312.1695,8347,2010,,fail,,,,,
241,9789571341156,聽見100村上,聽見100%的村上春樹,783.18,4254,2004,,,,,,,
242,9789571348858,村上春樹心,村上春樹心底的中國,861.57,4591,2008,,,,,,,
243,9789571324906,萊辛頓的幽,萊辛頓的幽靈,861.57,8357,1998,,,,,,,
244,9789571343945,終於悲哀的,終於悲哀的外國語,861.6,8354,2006,,,,,delete,,
245,9789861242453,抗生素迷思,抗生素的迷思,399.51,886,2004,,,,,delete,,
246,9789576667244,圖解生化學,最新圖解生化學,399,8346,2001,,fail,,,,,
247,9789570517989,閱讀一本書,如何閱讀一本書,019.1,7124,2007,,,,,,,
248,9789570316001,7 brains,7 brains─怎樣擁有達文西的七種天才(平裝),176.4,4443,1999,,,,,,,
249,9789861812397,Rails2e,Rails敏捷開發網站 2ed,312.91695,8489,2007,,fail,,,,東勢,
250,9789576213625,所羅門王的,所羅門王的指環,383.7,9924,1997,,,,,delete,,
251,9789576214912,統計讓數字,統計，讓數字說話!,510,8797,2002,,,,,,,
252,9789575279776,RubyProg,Ruby Programming－向Ruby之父學程式設計,312.92,428,2006,,fail,,,,東勢,
253,9789574935529,C問題解決,C程式語言設計與問題解決,312.32C,2121,2002,,fail,,,,,
254,9789571032719,巨龍傳奇,魔獸爭霸：巨龍傳奇,874.57,4040,2006,,,,,,,
